"customer_id","region_id","node_id","start_date","end_date"
1,3,4,"2020-01-02","2020-01-03"
2,3,5,"2020-01-03","2020-01-17"
3,5,4,"2020-01-27","2020-02-18"
4,5,4,"2020-01-07","2020-01-19"
5,3,3,"2020-01-15","2020-01-23"
6,1,1,"2020-01-11","2020-02-06"
7,2,5,"2020-01-20","2020-02-04"
8,1,2,"2020-01-15","2020-01-28"
9,4,5,"2020-01-21","2020-01-25"
10,3,4,"2020-01-13","2020-01-14"
11,2,5,"2020-01-19","2020-01-25"
12,1,2,"2020-01-13","2020-01-14"
13,2,3,"2020-01-02","2020-01-14"
14,1,2,"2020-01-25","2020-01-25"
15,1,3,"2020-01-25","2020-02-08"
16,4,4,"2020-01-13","2020-01-18"
17,2,3,"2020-01-19","2020-01-27"
18,1,3,"2020-01-17","2020-02-15"
19,2,2,"2020-01-17","2020-02-06"
20,2,4,"2020-01-18","2020-02-09"
21,3,2,"2020-01-12","2020-01-25"
22,4,3,"2020-01-19","2020-02-18"
23,1,5,"2020-01-21","2020-02-15"
24,2,5,"2020-01-26","2020-02-14"
25,5,1,"2020-01-28","2020-02-10"
26,3,3,"2020-01-17","2020-01-25"
27,4,3,"2020-01-01","2020-01-22"
28,4,2,"2020-01-20","2020-02-13"
29,2,3,"2020-01-19","2020-01-31"
30,2,1,"2020-01-26","2020-02-06"
31,3,2,"2020-01-06","2020-01-13"
32,4,4,"2020-01-12","2020-01-14"
33,3,4,"2020-01-24","2020-02-17"
34,2,3,"2020-01-30","2020-02-18"
35,4,5,"2020-01-17","2020-02-15"
36,2,3,"2020-01-30","2020-02-19"
37,1,3,"2020-01-29","2020-02-04"
38,5,1,"2020-01-21","2020-02-14"
39,5,2,"2020-01-22","2020-01-23"
40,2,1,"2020-01-21","2020-02-17"
41,5,1,"2020-01-30","2020-02-26"
42,4,3,"2020-01-11","2020-01-16"
43,2,2,"2020-01-28","2020-02-25"
44,3,1,"2020-01-19","2020-02-09"
45,2,1,"2020-01-14","2020-02-08"
46,1,4,"2020-01-23","2020-01-26"
47,5,4,"2020-01-22","2020-01-26"
48,5,2,"2020-01-01","2020-01-18"
49,2,5,"2020-01-04","2020-01-09"
50,2,5,"2020-01-29","2020-02-06"
51,1,3,"2020-01-20","2020-02-02"
52,5,2,"2020-01-12","2020-01-26"
53,4,1,"2020-01-24","2020-01-29"
54,4,1,"2020-01-09","2020-01-29"
55,5,5,"2020-01-25","2020-02-07"
56,4,4,"2020-01-18","2020-01-20"
57,5,5,"2020-01-06","2020-01-28"
58,3,2,"2020-01-11","2020-01-31"
59,3,1,"2020-01-20","2020-02-03"
60,5,5,"2020-01-19","2020-01-20"
61,4,5,"2020-01-21","2020-01-26"
62,2,1,"2020-01-16","2020-02-11"
63,1,3,"2020-01-06","2020-02-01"
64,2,3,"2020-01-08","2020-01-24"
65,1,3,"2020-01-26","2020-02-17"
66,1,2,"2020-01-16","2020-02-06"
67,3,3,"2020-01-22","2020-02-14"
68,3,3,"2020-01-20","2020-02-18"
69,1,1,"2020-01-10","2020-02-09"
70,3,3,"2020-01-08","2020-01-22"
71,1,3,"2020-01-14","2020-01-31"
72,3,2,"2020-01-20","2020-02-16"
73,1,1,"2020-01-06","2020-01-24"
74,5,1,"2020-01-13","2020-02-06"
75,4,5,"2020-01-22","2020-01-30"
76,2,1,"2020-01-04","2020-02-03"
77,5,4,"2020-01-08","2020-01-16"
78,5,3,"2020-01-28","2020-01-29"
79,1,5,"2020-01-29","2020-02-05"
80,4,3,"2020-01-25","2020-02-16"
81,1,5,"2020-01-25","2020-02-04"
82,2,5,"2020-01-09","2020-02-01"
83,2,1,"2020-01-09","2020-02-01"
